PID,portname,code,country,iso3,latitude,longitude
166,Chennai,INMAA,India,IND,13.09853,80.2971
280,Havana,,Cuba,CUB,23.15246,-81.64938000000001
436,Cartagena,COCTG,,,10.40575,-75.53294
486,Beirut,,Lebanon,LBN,33.901509999999995,35.51784
1223,Manila,PHMNL,Philippines,PHL,14.589429999999998,120.9609
1366,Canakkale,TRCKZ,Turkey,TUR,40.14833,26.4023
1367,Buenos Aires,ARBUE,Argentina,ARG,-34.60257,-58.3747
1428,Jakarta,IDJKT,,,-6.1043400000000005,106.80256000000001
1429,Tanjung Priok,IDTPP,Indonesia,IDN,-6.10492,106.87615
1642,Callao,PECLL,Peru,PER,-12.04873,-77.14381
1661,Suez,EGSUZ,Egypt,EGY,29.9667,32.55
1958,Alexandria,EGALY,Egypt,EGY,31.19534,29.881459999999997
2146,Veracruz,MXVER,Mexico,MEX,19.20223,-96.1242
2495,Port Qaboos,OMOPQ,Oman,OMN,23.62772,58.56664
2531,Laem Chabang,THLCH,Thailand,THA,13.06917,100.90117
2568,Sevastopol,UASVP,Ukraine,UKR,44.60713,33.5291
2751,Santiago De Cuba,CUSCU,,,20.027260000000002,-75.83811999999999
2763,Bandar Khomeini,IRBKM,Iran (Islamic Republic of),IRN,30.43873,49.0875
2826,Paradip,INPRT,India,IND,20.28193,86.6943
2852,Niteroi,BRNTR,Brazil,BRA,-22.880770000000002,-42.1315
2935,Vishakhapatnam,INVTZ,India,IND,17.703329999999998,83.3105
2957,Karachi,PKKHI,Pakistan,PAK,24.834239999999998,66.97856
3090,Nikolayev,UANIK,Ukraine,UKR,46.942209999999996,31.9721
3232,Mumbai,,India,IND,18.9,72.81667
3333,Bremerhaven,,Germany,DEU,53.562459999999994,8.56157
3334,Las Palmas,,,ESP,28.14065,-15.416139999999999
3336,Cochin,INCOK,India,IND,9.95453,76.2447
3343,Kandla,INIXY,India,IND,22.995929999999998,70.1941
3344,Salalah,OMRAY,Oman,OMN,16.93874,53.998580000000004
3346,Calcutta,INCCU,India,IND,22.55313,88.3383
3364,Colombo,LKCMB,Sri Lanka,LKA,6.94119,79.8428
3435,Istanbul,TRIST,Turkey,TUR,41.03413,28.9945
3512,Riga,LVRIX,Latvia,LVA,57.059,24.031999999999996
3548,Chittagong Port,BDCGP,Bangladesh,BGD,22.301460000000002,91.79599
3566,Manzanillo,,Panama,PAN,9.36077,-79.88367
3567,Houston,,United States of America,USA,29.73005,-95.27215
3568,Gioia Tauro,,Italy,ITA,38.45897,15.91284
